fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-06-30,USD,48880000000,15754000000,4258000000,4258000000,5280000000,4947000000,33126000000,9211000000,17248000000,17339000000,4470000000,12869000000,79000000,None,56000000,539000000,5764000000,41023000000,10936000000,3231000000,521000000,3033000000,3277000000,30087000000,244000000,14203000000,3033000000,12954000000,14203000000,3471000000,14651000000,7798000000,32926000000,40290000000,9000000,551992430,MMM
2023-03-31,USD,46886000000,14963000000,3824000000,3824000000,5306000000,4638000000,31923000000,9247000000,17049000000,17440000000,4585000000,12855000000,168000000,None,145000000,492000000,4353000000,31535000000,10556000000,3130000000,520000000,3012000000,3275000000,20979000000,263000000,14848000000,3012000000,12948000000,14848000000,3279000000,5448000000,15298000000,32963000000,47966000000,9000000,551672217,MMM
2022-12-31,USD,46455000000,14688000000,3655000000,3655000000,5372000000,4532000000,34124000000,9178000000,16820000000,17489000000,4699000000,12790000000,504000000,81000000,238000000,456000000,4271000000,31685000000,9523000000,3183000000,538000000,1938000000,2199000000,23847000000,75000000,15939000000,1938000000,14001000000,15939000000,3190000000,5615000000,14722000000,33255000000,47950000000,9000000,549245105,MMM
2022-09-30,USD,46176000000,14895000000,3404000000,3404000000,5615000000,4722000000,31281000000,9196000000,17470000000,17484000000,4815000000,12669000000,212000000,None,185000000,502000000,3800000000,32020000000,9543000000,3063000000,506000000,1856000000,2097000000,22477000000,811000000,15705000000,1856000000,13849000000,15705000000,3396000000,5556000000,14080000000,32843000000,48245000000,9000000,552742915,MMM
2022-06-30,USD,45634000000,14514000000,2722000000,2722000000,5645000000,4914000000,31120000000,9319000000,17694000000,18057000000,4993000000,13064000000,474000000,None,262000000,383000000,2909000000,31818000000,9896000000,3273000000,503000000,2257000000,2513000000,21922000000,256000000,15921000000,2257000000,14019000000,15921000000,3178000000,4681000000,13742000000,30781000000,45269000000,9000000,569603928,MMM
2022-03-31,USD,45855000000,14452000000,3247000000,3247000000,5290000000,4815000000,31403000000,9389000000,17768000000,18509000000,5141000000,13368000000,251000000,None,112000000,427000000,2640000000,30851000000,9152000000,3164000000,549000000,1877000000,2138000000,21699000000,869000000,16673000000,1877000000,14801000000,16673000000,2938000000,3498000000,14930000000,30860000000,46056000000,9000000,569058849,MMM
2021-12-31,USD,47072000000,15403000000,4564000000,4564000000,4985000000,4660000000,23999000000,9429000000,17784000000,18774000000,5288000000,13486000000,435000000,129000000,201000000,339000000,2608000000,31955000000,9035000000,2994000000,529000000,1307000000,9000000,24795000000,93000000,17347000000,1291000000,16056000000,17356000000,3191000000,3403000000,15046000000,30463000000,45821000000,9000000,571845478,MMM
2021-09-30,USD,48278000000,16426000000,4878000000,4878000000,4950000000,4916000000,31852000000,9323000000,17888000000,19023000000,5426000000,13597000000,885000000,None,855000000,326000000,2666000000,33748000000,9635000000,2862000000,467000000,1972000000,2234000000,24113000000,262000000,18149000000,1972000000,16193000000,18149000000,3242000000,3353000000,14460000000,29673000000,45361000000,9000000,576252803,MMM
2021-06-30,USD,48307000000,16343000000,4695000000,805000000,4842000000,4991000000,31995000000,9358000000,17774000000,19294000000,5572000000,13722000000,836000000,31000000,805000000,377000000,2440000000,33791000000,9440000000,2931000000,475000000,1981000000,2249000000,24351000000,871000000,18232000000,1981000000,16267000000,18232000000,3181000000,3297000000,14448000000,29236000000,44824000000,9000000,578638253,MMM
2021-03-31,USD,47180000000,15345000000,4636000000,501000000,4458000000,4817000000,31866000000,9240000000,17465000000,19351000000,5697000000,13654000000,532000000,31000000,501000000,398000000,2373000000,33352000000,8363000000,2670000000,482000000,None,0,24989000000,876000000,18169000000,1368000000,16819000000,18169000000,3126000000,3330000000,13760000000,29020000000,44255000000,9000000,579675002,MMM
2020-12-31,USD,47344000000,14982000000,4634000000,404000000,4239000000,4705000000,34027000000,9421000000,17229000000,19637000000,5835000000,13802000000,602000000,164000000,404000000,325000000,2440000000,34413000000,7948000000,2561000000,498000000,806000000,0,28402000000,93000000,18783000000,794000000,17989000000,18783000000,3278000000,3462000000,12867000000,29404000000,43821000000,9000000,577749638,MMM
2020-09-30,USD,45390000000,14110000000,4121000000,440000000,3984000000,4623000000,31314000000,9216000000,17236000000,19461000000,5926000000,13535000000,474000000,34000000,440000000,426000000,1759000000,33447000000,7410000000,2208000000,390000000,None,1421000000,26037000000,857000000,19582000000,1169000000,18429000000,19582000000,2840000000,3324000000,11880000000,29570000000,43285000000,9000000,576821878,MMM
2020-06-30,USD,45079000000,14106000000,4219000000,247000000,4168000000,4459000000,31007000000,9089000000,16854000000,19393000000,6033000000,13360000000,281000000,34000000,247000000,446000000,1651000000,34164000000,7282000000,1975000000,412000000,248000000,1734000000,26882000000,855000000,19926000000,248000000,19276000000,19926000000,2702000000,3275000000,10857000000,29699000000,42759000000,9000000,576019442,MMM
2020-03-31,USD,46212000000,15090000000,4253000000,224000000,4217000000,4821000000,31156000000,9165000000,16835000000,19503000000,6191000000,13312000000,258000000,34000000,224000000,971000000,1605000000,36003000000,9134000000,2207000000,422000000,244000000,3492000000,26869000000,847000000,21072000000,244000000,19247000000,21072000000,2776000000,3225000000,10147000000,29817000000,42345000000,9000000,575196371,MMM
2019-12-31,USD,44659000000,12971000000,9000000000,577000000,4134000000,4791000000,32552000000,9333000000,16791000000,19823000000,6379000000,13444000000,756000000,113000000,568000000,891000000,1674000000,34533000000,9222000000,2228000000,430000000,2795000000,2527000000,27230000000,111000000,19359000000,247000000,17518000000,21886000000,3056000000,3275000000,10063000000,29849000000,42135000000,9000000,575184835,MMM
2019-09-30,USD,42550000000,18020000000,7731000000,30000000000,4007000000,5020000000,24576000000,8891000000,16617000000,13257000000,2847000000,10410000000,76000000,46000000,30000000,515000000,1548000000,31786000000,7821000000,2079000000,605000000,259000000,2201000000,24081000000,116000000,18794000000,241000000,17479000000,18794000000,2735000000,3235000000,10702000000,29865000000,42085000000,9000000,576500000,MMM
2019-06-30,USD,38969000000,14051000000,2849000000,139000000,4300000000,5374000000,24964000000,8998000000,16567000000,13538000000,2964000000,10574000000,185000000,46000000,139000000,440000000,1503000000,28827000000,7265000000,2130000000,603000000,263000000,1139000000,21683000000,121000000,15777000000,247000000,14914000000,15777000000,3169000000,3268000000,10083000000,29828000000,41362000000,9000000,577700000,MMM
2019-03-31,USD,39140000000,14374000000,2938000000,539000000,4538000000,5173000000,24015000000,8829000000,16295000000,13658000000,3047000000,10611000000,585000000,46000000,539000000,473000000,1482000000,29383000000,7125000000,2309000000,None,790000000,1045000000,21727000000,84000000,16328000000,790000000,15580000000,16328000000,3071000000,3228000000,9703000000,29668000000,41159000000,9000000,577500000,MMM
2018-12-31,USD,36500000000,13709000000,2853000000,393000000,4366000000,5020000000,23106000000,8738000000,16135000000,12708000000,2657000000,10051000000,575000000,107000000,380000000,349000000,1345000000,26652000000,7244000000,2266000000,617000000,1211000000,1194000000,21036000000,75000000,14156000000,17000000,13411000000,15350000000,2775000000,3010000000,9796000000,29626000000,40636000000,9000000,576575168,MMM
2018-09-30,USD,37275000000,14419000000,3185000000,338000000,4437000000,5329000000,22883000000,8630000000,16135000000,12849000000,2726000000,10123000000,365000000,27000000,338000000,385000000,1377000000,26964000000,7336000000,2029000000,None,1307000000,1307000000,19628000000,None,13539000000,5000000,13539000000,14846000000,3031000000,2906000000,10248000000,28510000000,40120000000,9000000,585600000,MMM
2023-06-30,USD,3248800000,1561300000,378900000,409700000,508500000,588900000,1687500000,576800000,794900000,964900000,342800000,622100000,30800000,None,30800000,54200000,113200000,1360400000,860700000,545100000,55000000,10000000,10000000,499700000,26000000,196000000,10000000,196000000,232000000,850700000,158700000,1888400000,1970800000,3078400000,294900000,150475003,AOS
2023-03-31,USD,3336300000,1643800000,406200000,496000000,503700000,586800000,1692500000,585500000,790400000,964700000,344800000,619900000,89800000,None,89800000,57300000,110000000,1546100000,895700000,550400000,70300000,10000000,10000000,650400000,25100000,330800000,10000000,330800000,365900000,335300000,175100000,1790200000,1955500000,2966500000,294900000,150897302,AOS
2022-12-31,USD,3332300000,1633700000,391200000,481800000,516400000,581200000,1698600000,590700000,774100000,967600000,347900000,619700000,90600000,None,90600000,54300000,110500000,1584600000,934200000,625800000,85700000,10000000,10000000,650400000,22400000,344500000,10000000,334500000,344500000,298400000,174600000,1747700000,1905700000,2885000000,294900000,152268436,AOS
2022-09-30,USD,3231900000,1569600000,358800000,417100000,525600000,564200000,1662300000,583600000,755700000,969100000,349800000,619300000,58300000,None,58300000,62700000,78300000,1484100000,900900000,595600000,103800000,6800000,6800000,583200000,23500000,281000000,6800000,281000000,311300000,298500000,165200000,1747800000,1785100000,3051100000,295000000,154197072,AOS
2022-06-30,USD,3321400000,1631200000,359400000,459400000,493000000,621500000,1690200000,592700000,753600000,984900000,357500000,627400000,100000000,None,100000000,57300000,81500000,1528900000,928300000,624500000,100700000,6800000,6800000,600600000,23000000,291600000,6800000,291600000,321400000,297000000,171100000,1792500000,1694000000,2984600000,295200000,155692240,AOS
2022-03-31,USD,3434900000,1721400000,405800000,579400000,488700000,608300000,1713500000,602800000,751300000,989200000,360400000,628800000,173600000,None,173600000,45000000,87600000,1626000000,1002100000,658700000,118200000,6800000,6800000,623900000,24600000,288600000,6800000,288600000,320000000,336600000,196000000,1808900000,1611800000,2902200000,295200000,157018566,AOS
2021-12-31,USD,3474400000,1752600000,443300000,631400000,447700000,634400000,1721800000,606700000,736500000,992600000,364800000,627800000,188100000,None,188100000,39100000,90000000,1642200000,1118800000,745900000,155200000,6800000,6800000,523400000,22300000,196700000,6800000,189900000,196700000,366100000,181800000,1832200000,1503400000,2826600000,295200000,158695692,AOS
2021-09-30,USD,3300000000,1738100000,486100000,685200000,357700000,623800000,1561900000,539500000,721000000,867000000,315200000,551800000,199100000,None,199100000,71400000,116100000,1403500000,982600000,649600000,100400000,6800000,6800000,420900000,31400000,0,6800000,99600000,137800000,326200000,192500000,1896500000,1357700000,2731700000,295300000,159188790,AOS
2021-06-30,USD,3140200000,1585700000,444800000,581900000,330400000,607000000,1554500000,539700000,706400000,865900000,318000000,547900000,137100000,None,137100000,66400000,106900000,1323900000,907000000,612400000,92900000,6800000,6800000,416900000,33900000,0,6800000,99600000,140300000,287800000,188300000,1816300000,1344400000,2641600000,295300000,160241814,AOS
2021-03-31,USD,3106800000,1558200000,578500000,665500000,312800000,534500000,1548600000,539100000,688000000,868200000,320900000,547300000,87000000,None,87000000,45400000,97100000,1257800000,836100000,547400000,77700000,6800000,6800000,421700000,35800000,99600000,6800000,99600000,142200000,281900000,190300000,1849000000,1219300000,2565100000,295300000,161526733,AOS
2020-12-31,USD,3160700000,1618000000,573100000,689600000,300100000,585000000,1542700000,541300000,681300000,870700000,323900000,546800000,116500000,None,116500000,43300000,89100000,1312400000,886300000,595200000,90000000,6800000,6800000,426100000,34400000,113200000,6800000,106400000,113200000,284300000,177200000,1848300000,1155900000,2509600000,295400000,161632265,AOS
2020-09-30,USD,2971100000,1430300000,377900000,509000000,302600000,572900000,1540800000,537100000,658800000,870600000,325800000,544800000,131100000,None,131100000,45800000,90900000,1224000000,805900000,516900000,68700000,6800000,6800000,418100000,34900000,107100000,6800000,107100000,148800000,282200000,266000000,1747100000,1162300000,2431800000,295400000,161411049,AOS
2020-06-30,USD,2984200000,1444400000,442700000,568700000,306000000,515900000,1539800000,533800000,636700000,873500000,329500000,544000000,126000000,None,126000000,53800000,87300000,1326100000,735400000,435700000,43000000,6800000,6800000,590700000,37500000,274300000,6800000,274300000,318600000,292900000,265100000,1658100000,1163700000,2365100000,164500000,161208194,AOS
2020-03-31,USD,2983000000,1442500000,416100000,551700000,312300000,524000000,1540500000,537300000,622200000,875700000,333100000,542600000,135600000,None,135600000,54500000,82600000,1366700000,699100000,442000000,65200000,18300000,6800000,667600000,37300000,335600000,6800000,335600000,379700000,250300000,273900000,1616300000,1168900000,2336100000,164500000,161871788,AOS
2019-12-31,USD,3058000000,1500400000,374000000,551400000,303000000,589500000,1557600000,545400000,611500000,884400000,338400000,546000000,177400000,None,177400000,56500000,80900000,1391200000,766500000,509600000,49600000,18800000,6800000,624700000,38700000,284000000,6800000,277200000,284000000,250100000,188600000,1666800000,1112700000,2323400000,164500000,162912432,AOS
2019-09-30,USD,3067900000,1504400000,219400000,513800000,310000000,614100000,1563500000,543600000,593900000,886900000,339500000,547400000,294400000,None,294400000,66500000,84700000,1411700000,730400000,483100000,43700000,19000000,6800000,681300000,39600000,312400000,6800000,312400000,358800000,240500000,292800000,1656200000,1056400000,2271500000,164500000,164298458,AOS
2019-06-30,USD,3175600000,1596600000,281600000,577800000,323100000,634800000,1530600000,553900000,584400000,891600000,343700000,547900000,296200000,None,296200000,60900000,85100000,1450500000,730600000,488400000,None,6800000,6800000,680000000,39900000,351800000,6800000,351800000,398500000,235400000,291200000,1725100000,958800000,2220200000,164500000,166825601,AOS
2019-03-31,USD,3143500000,1658100000,337800000,633300000,319700000,658800000,1435700000,549900000,571700000,803800000,289900000,513900000,295500000,None,295500000,46300000,82000000,1394300000,737200000,492400000,None,6800000,6800000,616000000,41100000,277600000,6800000,277600000,325500000,238000000,295100000,1749200000,872700000,2155000000,164500000,167803794,AOS
2018-12-31,USD,3071500000,1638500000,259700000,645000000,304700000,647300000,1433000000,540000000,556800000,806100000,293100000,513000000,385300000,None,385300000,41500000,86900000,1354500000,785300000,543800000,47000000,None,None,569200000,None,221400000,0,221400000,221400000,241500000,200700000,1717000000,827200000,2102800000,164500000,169265139,AOS
2018-09-30,USD,3025200000,1598700000,233000000,617800000,307700000,606600000,1426500000,526300000,544900000,812600000,297400000,515200000,384800000,None,384800000,66600000,87600000,1269000000,738900000,508000000,None,None,None,530100000,None,193300000,None,193300000,193300000,230900000,312000000,1756200000,730900000,2014000000,164500000,170507922,AOS
2023-06-30,USD,73354000000,23505000000,7835000000,8155000000,6871000000,6172000000,43340000000,9449000000,11477000000,33092000000,9834000000,23258000000,164000000,799000000,320000000,8479000000,None,36180000000,14350000000,4211000000,551000000,2284000000,2284000000,14562000000,None,16846000000,2284000000,14562000000,16846000000,7582000000,7038000000,37174000000,15722000000,36355000000,24612000000,1740359000,ABT
2023-03-31,USD,73794000000,24377000000,9161000000,9532000000,6673000000,6020000000,42991000000,9282000000,11323000000,32933000000,10006000000,22927000000,162000000,776000000,371000000,8881000000,None,36784000000,14530000000,4167000000,529000000,2285000000,2251000000,14615000000,None,16900000000,2285000000,14615000000,16900000000,8631000000,7417000000,37010000000,15307000000,35868000000,24488000000,1741738000,ABT
2022-12-31,USD,74438000000,25224000000,9882000000,10170000000,6173000000,6218000000,44368000000,9162000000,11050000000,33253000000,10454000000,22799000000,169000000,766000000,288000000,2663000000,None,37752000000,15489000000,4607000000,500000000,2251000000,2251000000,21053000000,943000000,16773000000,2251000000,14522000000,16773000000,8631000000,3804000000,36686000000,15229000000,35257000000,24709000000,1743373000,ABT
2022-09-30,USD,72801000000,24845000000,9594000000,9907000000,5734000000,6408000000,42587000000,8689000000,10617000000,33134000000,10850000000,22284000000,228000000,764000000,313000000,2796000000,None,37126000000,13365000000,4133000000,478000000,1117000000,1117000000,15297000000,None,17531000000,1117000000,15297000000,16414000000,8115000000,8255000000,35675000000,14555000000,35115000000,24560000000,1752968000,ABT
2022-06-30,USD,74202000000,24956000000,8937000000,9290000000,5899000000,7199000000,43888000000,8818000000,10640000000,34336000000,11592000000,22744000000,227000000,734000000,353000000,2568000000,None,37712000000,12392000000,4493000000,490000000,5000000,5000000,16755000000,None,16765000000,5000000,16755000000,16760000000,7894000000,8339000000,36490000000,13720000000,34487000000,24429000000,1753865000,ABT
2022-03-31,USD,74007000000,23429000000,7675000000,8158000000,5691000000,7179000000,45075000000,8908000000,10613000000,35404000000,12225000000,23179000000,244000000,763000000,483000000,2401000000,None,38608000000,12647000000,4757000000,513000000,4000000,4000000,17086000000,None,17094000000,4000000,17086000000,17090000000,7886000000,None,35399000000,13726000000,33295000000,24304000000,1761911000,ABT
2021-12-31,USD,75196000000,24239000000,9799000000,10249000000,5157000000,6487000000,46976000000,8959000000,10405000000,35970000000,12739000000,23231000000,256000000,816000000,450000000,2346000000,None,39394000000,13105000000,4408000000,520000000,754000000,0,20990000000,956000000,18050000000,754000000,17296000000,18050000000,7943000000,3685000000,35802000000,11822000000,31528000000,24470000000,1769390000,ABT
2021-09-30,USD,73795000000,23492000000,9302000000,9692000000,5261000000,6405000000,46254000000,8831000000,10351000000,36611000000,13312000000,23299000000,269000000,812000000,390000000,8539000000,None,39373000000,12867000000,4017000000,412000000,951000000,197000000,17446000000,None,18954000000,754000000,17446000000,19151000000,7531000000,None,34422000000,10999000000,30376000000,24285000000,1774516000,ABT
2021-06-30,USD,73269000000,22627000000,8658000000,8944000000,5439000000,6113000000,46787000000,8816000000,10258000000,37166000000,13681000000,23485000000,260000000,805000000,286000000,8244000000,None,39469000000,12614000000,4017000000,406000000,954000000,199000000,17547000000,None,19057000000,755000000,17547000000,19256000000,7401000000,None,33800000000,10340000000,29053000000,24153000000,1779203000,ABT
2021-03-31,USD,72785000000,21817000000,8054000000,8372000000,5387000000,6096000000,47245000000,8832000000,9865000000,37581000000,14181000000,23400000000,289000000,832000000,318000000,8058000000,None,39223000000,12462000000,4066000000,416000000,955000000,199000000,17489000000,None,19001000000,756000000,17489000000,19200000000,7165000000,None,33562000000,9845000000,28669000000,24023000000,1776842000,ABT
2020-12-31,USD,72548000000,20441000000,6838000000,7148000000,5012000000,6414000000,49522000000,9029000000,9764000000,38528000000,14784000000,23744000000,277000000,821000000,310000000,1867000000,None,39764000000,11907000000,3946000000,405000000,220000000,213000000,22548000000,902000000,18534000000,7000000,18527000000,18747000000,7379000000,3684000000,32784000000,10042000000,27627000000,24145000000,1775502000,ABT
2020-09-30,USD,69043000000,17390000000,4480000000,4731000000,5152000000,5649000000,47969000000,8620000000,9352000000,38546000000,15208000000,23338000000,292000000,803000000,251000000,7507000000,None,37657000000,10257000000,3189000000,351000000,214000000,208000000,18349000000,None,18361000000,6000000,18349000000,18569000000,6737000000,None,31386000000,9873000000,26266000000,24037000000,1774475000,ABT
2020-06-30,USD,68776000000,17221000000,4763000000,5037000000,5202000000,5140000000,48002000000,8343000000,9031000000,38883000000,15783000000,23100000000,283000000,776000000,274000000,6982000000,None,38198000000,10959000000,3335000000,335000000,1495000000,205000000,18184000000,None,20764000000,1290000000,18184000000,20969000000,5964000000,None,30578000000,9904000000,25669000000,23893000000,1772953000,ABT
2020-03-31,USD,66777000000,15498000000,3377000000,3668000000,4568000000,5292000000,47889000000,7907000000,8800000000,39192000000,16265000000,22927000000,275000000,790000000,291000000,7262000000,None,36559000000,10808000000,3181000000,305000000,1468000000,204000000,16804000000,None,19332000000,1264000000,16804000000,19536000000,5994000000,None,30218000000,9913000000,25786000000,23731000000,1768901000,ABT
2019-12-31,USD,67887000000,15667000000,3860000000,4140000000,4316000000,5425000000,50165000000,8038000000,8761000000,40225000000,17025000000,23200000000,321000000,883000000,280000000,1786000000,None,36799000000,10863000000,3252000000,294000000,1683000000,201000000,20233000000,755000000,17938000000,1277000000,16661000000,18139000000,5907000000,3944000000,31088000000,10147000000,25847000000,23853000000,1768045000,ABT
2019-09-30,USD,68539000000,16119000000,4091000000,4335000000,4392000000,5450000000,50091000000,7825000000,8518000000,40511000000,17465000000,23046000000,335000000,874000000,244000000,7392000000,None,36722000000,10491000000,3029000000,295000000,1660000000,204000000,18341000000,None,20147000000,1254000000,17639000000,20351000000,5937000000,None,31817000000,9631000000,25440000000,23771000000,1771521000,ABT
2019-06-30,USD,68427000000,15195000000,3137000000,3376000000,4352000000,5548000000,50946000000,7825000000,8506000000,41420000000,18091000000,23329000000,325000000,851000000,239000000,7467000000,None,36741000000,9062000000,3222000000,297000000,415000000,204000000,19652000000,None,18998000000,8000000,18982000000,19202000000,5545000000,None,31686000000,9659000000,25045000000,23665000000,1768904000,ABT
2019-03-31,USD,67610000000,14409000000,3022000000,3261000000,4085000000,5345000000,50174000000,7626000000,8279000000,41681000000,18472000000,23209000000,325000000,867000000,239000000,7063000000,None,36685000000,9113000000,3045000000,None,209000000,201000000,18845000000,None,18861000000,8000000,18845000000,19062000000,5582000000,None,30925000000,9679000000,24613000000,23461000000,1763278000,ABT
2018-12-31,USD,67173000000,14632000000,3844000000,4086000000,3796000000,5182000000,50775000000,7563000000,8143000000,42196000000,18942000000,23254000000,325000000,897000000,242000000,1568000000,None,36649000000,9012000000,2975000000,259000000,207000000,200000000,21399000000,None,19366000000,7000000,19359000000,19566000000,5525000000,None,30524000000,9962000000,24560000000,23512000000,1760946000,ABT
2018-09-30,USD,71637000000,18196000000,7369000000,7550000000,3781000000,5271000000,51331000000,7448000000,8072000000,42893000000,19477000000,23416000000,355000000,971000000,181000000,12000000,None,40932000000,12776000000,2730000000,None,4274000000,211000000,19284000000,None,27410000000,4063000000,19284000000,27621000000,5541000000,None,30705000000,9858000000,24144000000,23428000000,1759585000,ABT
2023-06-30,USD,135367000000,28852000000,8759000000,8766000000,4055000000,11491000000,106515000000,4943000000,6375000000,95086000000,62862000000,32224000000,None,288000000,7000000,4540000000,6198000000,122501000000,32239000000,None,None,5203000000,0,90230000000,None,55812000000,5203000000,None,0,27036000000,32294000000,12866000000,6528000000,1789000000,18000000,1767000000,ABBV
2023-03-31,USD,134544000000,26488000000,6711000000,6722000000,3833000000,11473000000,108056000000,4931000000,6211000000,97068000000,64848000000,32220000000,None,257000000,11000000,4460000000,5800000000,121270000000,27590000000,None,None,2801000000,1000000,93651000000,None,59292000000,2800000000,None,1000000,24789000000,32249000000,13274000000,6524000000,2393000000,18000000,1770000000,ABBV
2022-12-31,USD,138805000000,28463000000,9201000000,9229000000,3579000000,11254000000,111104000000,4935000000,6051000000,99595000000,67439000000,32156000000,None,241000000,28000000,4401000000,5571000000,121551000000,29538000000,2934000000,None,4136000000,1000000,116887000000,17000000,63128000000,4118000000,None,63129000000,22468000000,30655000000,17254000000,4594000000,4784000000,18000000,1771000000,ABBV
2022-09-30,USD,141325000000,30364000000,11832000000,11879000000,3172000000,10743000000,110961000000,4893000000,5786000000,100451000000,68725000000,31726000000,None,235000000,47000000,4570000000,5382000000,125331000000,32712000000,None,None,9207000000,10000000,92586000000,None,60399000000,9197000000,None,10000000,21533000000,30215000000,15994000000,4590000000,4953000000,18000000,1771000000,ABBV
2022-06-30,USD,143186000000,29100000000,8521000000,9961000000,3396000000,11237000000,114086000000,4958000000,5869000000,103851000000,71823000000,32028000000,None,244000000,1440000000,4506000000,5033000000,128533000000,34473000000,None,None,11930000000,17000000,94025000000,None,61002000000,11913000000,None,17000000,20288000000,30768000000,14653000000,4591000000,3516000000,18000000,1770000000,ABBV
2022-03-31,USD,143211000000,26509000000,6098000000,7572000000,3483000000,10733000000,116702000000,5075000000,5804000000,106284000000,73986000000,32298000000,None,260000000,1474000000,4721000000,5083000000,126928000000,32521000000,None,None,9952000000,12000000,94376000000,None,63522000000,9940000000,None,12000000,22569000000,28023000000,16283000000,4585000000,5103000000,18000000,1771000000,ABBV
2021-12-31,USD,146529000000,27928000000,9746000000,9830000000,3128000000,9977000000,119396000000,5110000000,5617000000,108330000000,75951000000,32379000000,None,277000000,84000000,4993000000,4884000000,131121000000,35194000000,2882000000,None,12495000000,14000000,119343000000,25000000,75962000000,12472000000,None,75976000000,19817000000,28701000000,15408000000,3143000000,3127000000,18000000,1773000000,ABBV
2021-09-30,USD,148858000000,28957000000,12182000000,12249000000,3094000000,9281000000,119901000000,5130000000,5673000000,109752000000,77456000000,32296000000,None,272000000,67000000,4333000000,4747000000,135308000000,28533000000,None,None,6672000000,16000000,106748000000,None,74049000000,6656000000,None,16000000,21861000000,29097000000,13550000000,3020000000,1600000000,18000000,1770000000,ABBV
2021-06-30,USD,147972000000,25999000000,8546000000,8600000000,3386000000,9914000000,121973000000,5161000000,5655000000,111738000000,79340000000,32398000000,None,266000000,54000000,4099000000,4808000000,135403000000,28684000000,None,None,7901000000,17000000,106694000000,None,74237000000,7884000000,None,17000000,20783000000,28796000000,12569000000,3022000000,740000000,18000000,1769000000,ABBV
2021-03-31,USD,150501000000,26569000000,9755000000,9777000000,3272000000,9588000000,123932000000,5193000000,5694000000,113642000000,81293000000,32349000000,None,305000000,22000000,3932000000,4792000000,136791000000,31951000000,None,None,11347000000,9000000,104817000000,None,74183000000,11338000000,None,9000000,20604000000,26866000000,13710000000,3017000000,2292000000,18000000,1769000000,ABBV
2020-12-31,USD,150565000000,24173000000,8449000000,8479000000,3310000000,8822000000,126392000000,5248000000,5611000000,116000000000,82876000000,33124000000,None,293000000,30000000,3562000000,4851000000,137489000000,28661000000,2276000000,None,8502000000,34000000,130734000000,21000000,84948000000,8460000000,None,84982000000,17883000000,27607000000,13076000000,2264000000,1055000000,18000000,1769000000,ABBV
2020-09-30,USD,149621000000,23009000000,7890000000,7950000000,3474000000,8416000000,126612000000,4986000000,5405000000,117444000000,74643000000,42801000000,None,246000000,60000000,3169000000,3936000000,134351000000,24181000000,None,None,4777000000,54000000,110151000000,None,82282000000,4723000000,None,54000000,19404000000,23384000000,15270000000,1972000000,3335000000,18000000,1769000000,ABBV
2020-06-30,USD,149530000000,21256000000,6017000000,6040000000,4059000000,8354000000,128274000000,4908000000,5419000000,119132000000,76463000000,42669000000,None,225000000,23000000,2803000000,4009000000,134822000000,24646000000,None,None,5371000000,64000000,110152000000,None,82061000000,5307000000,None,64000000,19275000000,23306000000,14708000000,1958000000,3130000000,18000000,1647000000,ABBV
2020-03-31,USD,91199000000,51758000000,41142000000,41142000000,1844000000,6362000000,39441000000,2961000000,5289000000,33764000000,18203000000,15561000000,None,78000000,None,2410000000,2638000000,98614000000,16471000000,None,None,3762000000,6000000,82143000000,None,63284000000,3756000000,None,6000000,12709000000,17900000000,-7415000000,25110000000,5973000000,18000000,1481000000,ABBV
2019-12-31,USD,89115000000,49519000000,39924000000,39924000000,1813000000,5428000000,39596000000,2962000000,5226000000,34253000000,18649000000,15604000000,None,93000000,0,2354000000,2288000000,97287000000,15585000000,1452000000,None,3753000000,0,80572000000,None,67233000000,3753000000,None,67233000000,10380000000,17597000000,-8172000000,24504000000,4717000000,18000000,1484000000,ABBV
2019-09-30,USD,59441000000,20166000000,10648000000,10648000000,1929000000,5529000000,39275000000,2894000000,5598000000,34573000000,19036000000,15537000000,None,131000000,0,2060000000,1677000000,67667000000,17493000000,None,None,5276000000,0,49116000000,None,33126000000,5276000000,None,0,12217000000,15990000000,-8226000000,24501000000,3673000000,18000000,1481000000,ABBV
2019-06-30,USD,57142000000,15100000000,5172000000,5416000000,1895000000,5482000000,42042000000,2879000000,5564000000,36101000000,20459000000,15642000000,None,1473000000,244000000,2307000000,1589000000,65708000000,16941000000,None,None,5641000000,306000000,47619000000,None,31597000000,5335000000,None,306000000,11300000000,16000000000,-8566000000,24505000000,3384000000,18000000,1480000000,ABBV
